season,home_team,away_team,home_win
20252026,PIT,CBJ,0
20252026,SEA,PIT,0
20252026,PIT,CHI,1
20252026,PIT,NYR,1
20252026,NYI,PIT,1
20252026,PIT,NJD,1
20252026,NYR,PIT,1
20252026,PIT,VGK,1
20252026,BOS,PIT,1
20252026,PIT,BOS,1
20252026,CAR,PIT,1
20252026,VGK,PIT,1
20252026,UTA,PIT,0
20252026,CAR,PIT,1
20252026,PIT,WPG,1
20252026,PIT,CAR,0
20252026,PIT,DAL,0
20252026,NYI,PIT,0
20252026,PIT,DET,1
20252026,TBL,PIT,1
20252026,PIT,FLA,1
20252026,PIT,FLA,1
20252026,NJD,PIT,0
20252026,PIT,WSH,0
20252026,WSH,PIT,1
20252026,STL,PIT,1
20252026,BOS,WSH,0
20252026,NJD,WSH,0
20252026,CBJ,WSH,0
20252026,WSH,BOS,0
20252026,WSH,CBJ,1
20252026,WSH,BOS,0
20252026,NYI,WSH,0
20252026,NYR,WSH,0
20252026,WSH,TBL,1
20252026,WSH,MIN,1
20252026,WSH,SEA,1
20252026,CBJ,WSH,0
20252026,DAL,WSH,1
20252026,WSH,NYI,0
20252026,WSH,STL,1
20252026,TBL,WSH,1
20252026,CAR,WSH,0
20252026,FLA,WSH,1
20252026,WSH,NJD,0
20252026,WSH,LAK,1
20252026,MTL,WSH,0
20252026,WSH,TBL,0
20252026,WSH,CBJ,1
20252026,WSH,WPG,1
20252026,NYI,WSH,0
20252026,LAK,WSH,0
20252026,SJS,WSH,0
20252026,ANA,WSH,1
20252026,WSH,CBJ,1
20252026,WSH,CAR,0
20252026,WPG,WSH,1
20252026,MIN,WSH,1
20252026,WSH,DET,0
20252026,DET,WSH,1
20252026,WSH,NYR,0
20252026,NJD,WSH,0
20252026,FLA,WSH,1
20252026,WSH,NYR,1
20252026,WSH,CHI,0
20252026,WSH,ANA,1
20252026,WSH,DAL,0
20252026,CHI,WSH,0
20252026,NSH,WSH,1
20252026,WSH,MTL,1
20252026,WSH,SJS,0
20252026,WSH,FLA,0
20252026,SEA,WSH,1
20252026,DET,WSH,0
20252026,WSH,CAR,1
20252026,WSH,NYI,1
20252026,WSH,NSH,1
20252026,WSH,VGK,1
20252026,MTL,WSH,1
20252026,WSH,UTA,0
20252026,BOS,WSH,1
20252026,WSH,BOS,0
20252026,WSH,NJD,1
20252026,STL,WSH,1
20252026,UTA,WSH,0
20252026,VGK,WSH,0
20252026,NJD,WSH,1
20252026,NYR,WSH,1
20252026,CBJ,WSH,0
20252026,DET,MTL,0
20252026,CHI,MTL,0
20252026,MTL,SEA,1
20252026,MTL,NSH,1
20252026,MTL,NYR,0
20252026,SEA,MTL,0
20252026,NJD,MTL,1
20252026,MTL,UTA,1
20252026,MTL,LAK,0
20252026,MTL,DAL,0
20252026,MTL,BOS,0
20252026,CBJ,MTL,1
20252026,UTA,MTL,0
